버스정류장ARS번호,역명,승차총승객수,하차총승객수,총이용객수,위도,경도
01836,보현빌라,15,13,28,37.6153822583,126.9784205906
01837,스위스대사관,1,15,16,37.5701413179,126.9656960774
01839,안국선원.삼거리,11,241,252,37.5827432497,126.9852205387
01840,세검정교회,10,0,10,37.5993880238,126.9600291533
01841,혜화동로터리,485,243,728,37.5859196111,127.0010032298
01842,김종영미술관,9,4,13,37.6132637884,126.9781122953
01843,서울시교육청,12,80,92,37.569381682,126.9666998924
01844,창신쌍용1단지.종로센트레빌아파트,45,312,357,37.5803228198,127.0155692785
01845,사우디대사관.북촌힐스,0,165,165,37.583863308,126.9852486243
01846,상명대입구,52,1,53,37.5998544708,126.9574023475
01847,혜화초등학교,102,477,579,37.5873892922,126.9999909413
01849,강북삼성병원,10,180,190,37.5685315243,126.9683376852
01850,청룡사.보문파크뷰자이아파트,27,436,463,37.5797846496,127.0171508787
01851,감사원,19,467,486,37.5862656518,126.9855618026
01852,국민생활관,74,565,639,37.5896275957,126.9993137839
01855,종로센트레빌후문.e편한세상보문아파트,0,253,253,37.5818978359,127.0162353711
01856,통일부,0,32,32,37.5875308468,126.9861073451
01858,서울국제고등학교,13,412,425,37.5890742944,126.9971407875
01860,성대후문.와룡공원,0,39,39,37.5891522774,126.989734001
01861,상명초등학교,17,1,18,37.600904926,126.9568173576
01862,새마을금고,91,627,718,37.5878406881,126.9965690016
01863,경진빌라,4,16,20,37.6018640911,126.9579482257
01864,명륜시장.성대후문,37,577,614,37.5887246101,126.9952305162
01865,완성빌라,16,53,69,37.6033399708,126.9576665157
01866,양현관,4,265,269,37.5897680031,126.9937685575
01868,상명대후문,30,56,86,37.6040715802,126.9574633677
01869,샘미용실.종로구청소년상담복지센터,1,147,148,37.5902545716,126.9934084203
01870,산정빌라,0,3,3,37.6052835831,126.9575782035
01872,문방구,0,9,9,37.6061334517,126.9579809335
01873,마트앞,7,40,47,37.6066987064,126.958756466
01874,국민은행.세검정지점,4,6,10,37.6049541749,126.9608727063
01876,혜화역4번출구,395,2059,2454,37.5835080381,127.0015538872
01877,방송통신대앞,122,250,372,37.5786973612,127.0019926794
01878,서울대치과대학,4,104,108,37.5774082997,126.997800962
01879,효제초교.연동교회.김마리아활동터,161,199,360,37.5736413355,127.0022087811
01881,성균관대학교,82,162,244,37.5884638684,126.9900035953
01883,서울대치과대학,47,32,79,37.5775727323,126.9978632209
01886,이화사거리,37,68,105,37.5769483437,127.0020084833
01887,서울대학교병원현관.암병원현관,778,1483,2261,37.5790872846,126.9981631637
01888,공평.종각,347,102,449,37.5715937879,126.9832427053
01889,조계사,82,42,124,37.5736021088,126.9831364101
02001,남대문세무서,2444,2200,4644,37.5649848069,126.9875299251
02002,국가인권위.안중근활동터,3855,3070,6925,37.5643504711,126.9878515151
02003,서울역버스환승센터,438,1124,1562,37.5551460158,126.9722570849
02004,서울역버스환승센터,5167,5154,10321,37.5554029828,126.9725924801
02005,서울역버스환승센터,2880,3640,6520,37.555388989,126.9727238221
02006,서울역버스환승센터,4927,5540,10467,37.5554794133,126.9728547738
02007,서울역버스환승센터.강우규의거터,1928,2617,4545,37.5554141603,126.9729402621
02008,숭례문,2248,1856,4104,37.5586388574,126.9737783904
02099,숭례문,4,562,566,37.5597967723,126.9743556496
02101,만리동고개,1323,1128,2451,37.551787064,126.9626582054
02102,손기정체육공원입구,743,878,1621,37.5544459527,126.9662339013
02103,서울의료보건고등학교.서울역서부,1382,532,1914,37.5558478973,126.9689026242
02104,서울역서부,907,420,1327,37.556237644,126.9691514463
02105,서울역서부,963,1371,2334,37.555855,126.969293
02106,중림동교차로,373,563,936,37.5583836266,126.9691354395
02107,종근당.충정로역,902,772,1674,37.5596488763,126.9645407963
02108,한국경제신문사.서소문역사공원,465,515,980,37.5602111497,126.9678680149
02109,한국경제신문사.서소문역사공원,583,529,1112,37.5606234736,126.9681135141
02110,경찰청.동북아역사재단,1148,1390,2538,37.5630494858,126.9691267228
02113,농협은행.유관순활동터,1275,550,1825,37.5649062803,126.9677868059
02116,염천교,901,485,1386,37.5598696316,126.97311408
02117,숭례문,114,81,195,37.5584010617,126.97335794
02118,숭례문.한국일보,838,442,1280,37.5587713091,126.9737375955
02120,후암삼거리,209,337,546,37.5534055956,126.9759937564
02121,숭례문,195,24,219,37.5587633765,126.974362745
02122,숭례문,1883,2192,4075,37.5584195299,126.9740436876
02123,숭례문,1573,370,1943,37.5580006528,126.9736279452
02124,남대문시장악세사리전문상가,156,1125,1281,37.5588723988,126.9759976615
02125,숭례문남산방향,872,143,1015,37.5585581643,126.9756720863
02126,남대문시장.신세계앞,396,426,822,37.561191081,126.9800597585
02127,북창동.남대문시장,3841,3112,6953,37.561273,126.978555
02128,소공동주민센터,2187,3337,5524,37.562197167,126.97644367
02131,삼성본관앞,2130,1445,3575,37.5620517519,126.9759075283
02132,시청역8번출구,771,212,983,37.562764205,126.976148714
02133,시청역9번출구.시청서소문2청사,1317,1090,2407,37.5631901447,126.9746522037
02134,서소문,1792,1427,3219,37.563722,126.975314
02135,시청.서소문청사,1150,575,1725,37.5635248407,126.9749539314
02137,서울신문사,2133,2023,4156,37.5683632936,126.9773647051
02139,우리은행종로지점,2783,2794,5577,37.5678390393,126.9828658628
02140,롯데백화점,5929,4595,10524,37.5645069796,126.9822069938
02141,해운센터.롯데영플라자,463,866,1329,37.5628907847,126.9815478394
02142,명동.롯데영프라자,5913,4712,10625,37.562885,126.982008
02144,신세계백화점,1001,956,1957,37.561127344,126.9814315438
02145,남대문시장.회현역,2001,1379,3380,37.5582675237,126.9777650546
02146,남대문시장.회현역,1221,2210,3431,37.5584920257,126.9784645011
02147,남산3호터널,549,612,1161,37.5583104538,126.9827404025
02148,남산3호터널.정화예술대학교,818,1339,2157,37.5595260891,126.9826359346
02149,명동역4번출구,1546,1538,3084,37.560657849,126.9849157703
02150,퇴계로2가.명동역5번출구,631,496,1127,37.5609325805,126.9843582953
02151,충무로역.한옥마을.한국의집,1661,971,2632,37.5612508237,126.9917771969
02152,충무로역.한옥마을.한국의집,716,703,1419,37.5609019668,126.9924098253
02153,충무로역2번출구,1944,890,2834,37.5612375854,126.9947285429
02154,충무로역8번출구,992,1164,2156,37.5620371603,126.9964921507
02155,초동,75,161,236,37.5633461766,126.9931119513
02156,을지로입구.로얄호텔,1678,1105,2783,37.5658757422,126.9853902774
02157,을지로입구.시청입구,1385,1156,2541,37.5661382638,126.9811712097
02158,을지로2가.기업은행본점.서울노동청,2404,1735,4139,37.566246226,126.9865233528
02159,을지로2가.파인에비뉴,1653,547,2200,37.5660727123,126.988670826
02160,을지로3가,583,1276,1859,37.5663729806,126.9902600103
02161,을지로3가,840,579,1419,37.5661205237,126.9913276421
02162,을지로4가,471,798,1269,37.5666841559,126.9959336364
02163,을지로4가.베스트웨스턴국도,1019,925,1944,37.5664010399,126.9968473297
02164,중구청앞.덕수중학교,373,582,955,37.5647745951,126.9981401348
